,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
225,Hinomaruzumou,1556,TV,24,Oct 2018 - Mar 2019,117498,7.55,1400,Manga,28,May 2014 - Jul 2019,13149,7.76
226,Kamisama no Inai Nichiyoubi,2584,TV,12,Jul 2013 - Sep 2013,216513,7.29,6490,Manga,4,Oct 2010 - Jul 2013,3668,7.14
228,Sakura,11683,Movie,1,1946 - 1946,1061,5.19,8143,Manga,1,Jan 2014 - Jan 2014,852,7.03
229,.hack//Tasogare no Udewa Densetsu,6044,TV,12,Jan 2003 - Mar 2003,66699,6.56,7927,Manga,3,Dec 2001 - Oct 2003,15953,7.04
230,B'T X,3916,TV,25,Apr 1996 - Sep 1996,11677,7.02,12797,Manga,16,Oct 1994 - Dec 1999,1250,6.68
231,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,6771,TV,12,Apr 2014 - Jun 2014,61273,6.43,12398,Manga,2,Oct 2013 - Nov 2014,806,6.71
232,Netoge no Yome wa Onnanoko ja Nai to Omotta?,5330,TV,12,Apr 2016 - Jun 2016,521477,6.71,10648,Manga,8,Aug 2014 - Sep 2018,8103,6.85
234,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,5601,TV,12,Jan 2020 - Mar 2020,57454,6.65,9300,Manga,12,Jan 2013 - Apr 2020,1491,6.94
235,Cool Doji Danshi,794,TV,24,Oct 2022 - Mar 2023,77492,7.87,1001,Manga,?,Jun 2019 -,6179,7.88
237,Overlord,715,TV,13,Jul 2015 - Sep 2015,1517050,7.91,739,Manga,?,Nov 2014 -,41713,7.99
238,Captain Tsubasa: Road to 2002,1916,TV,52,Oct 2001 - Oct 2002,56071,7.44,2796,Manga,15,Dec 2000 - May 2004,2260,7.5
239,Nekota no Koto ga Kininatte Shikatanai.,9351,Special,1,Mar 2015 - Mar 2015,1351,5.89,658,Manga,10,Apr 2013 - Dec 2016,11171,8.05
240,Skip Beat!,486,TV,25,Oct 2008 - Mar 2009,262007,8.08,97,Manga,?,Feb 2002 -,89305,8.57
241,Sola,3160,TV,13,Apr 2007 - Jun 2007,99081,7.18,6365,Manga,2,Dec 2006 - Feb 2008,2317,7.15
242,Gakuen Alice,1284,TV,26,Oct 2004 - May 2005,97381,7.64,265,Manga,31,Sep 2002 - Jun 2013,41318,8.33
243,Hokuto no Ken,646,TV,109,Oct 1984 - Mar 1987,126767,7.96,549,Manga,27,Sep 1983 - Jul 1988,41273,8.11
244,Tenshi no Drop,12753,Special,1,May 2013 - May 2013,16554,3.35,17269,Manga,5,Aug 2011 - Dec 2013,697,6.03
245,Ashita no Joe,249,TV,79,Apr 1970 - Sep 1971,86075,8.29,14,Manga,20,Jan 1968 - May 1973,48270,8.94
246,High Score Girl,983,TV,12,Jul 2018 - Sep 2018,247996,7.77,516,Manga,10,Oct 2010 - Sep 2018,17609,8.13
247,Otoko Ippiki Gaki Daishou,4126,TV,156,Sep 1969 - Mar 1970,1176,6.97,3403,Manga,20,Nov 1968 - Feb 1973,703,7.42
248,Hana to Alice: Satsujin Jiken,2799,Movie,1,Feb 2015 - Feb 2015,41682,7.25,11124,Manga,1,Feb 2015 - Jul 2015,2192,6.81
249,Little Busters!,1774,TV,26,Oct 2012 - Apr 2013,285784,7.48,885,Manga,2,Mar 2008 - Feb 2010,3586,7.93
250,Granblue Fantasy,7308,ONA,?,Nov 2013 -,7235,6.32,13306,Manga,7,May 2016 - Dec 2019,2388,6.64
251,Yowamushi Pedal: Spare Bike,1841,Movie,1,Sep 2016 - Sep 2016,12045,7.46,4787,Manga,?,Aug 2012 -,915,7.29
252,Berserk,7404,TV,12,Jul 2016 - Sep 2016,345813,6.3,1,Manga,?,Aug 1989 -,637448,9.47
253,Yozakura Quartet,4918,TV,12,Oct 2008 - Dec 2008,153456,6.79,2444,Manga,?,Jan 2006 -,12926,7.56
254,Karadasagashi,11404,ONA,10,Jul 2017 - Aug 2017,4846,5.31,3134,Manga,17,Sep 2014 - Dec 2017,6418,7.46
255,Spy x Family,81,TV,12,Apr 2022 - Jun 2022,1364573,8.61,91,Manga,?,Mar 2019 -,284276,8.59
256,Angel Cop,9043,OVA,6,Sep 1989 - May 1994,19743,5.96,16761,Manga,1,Apr 1990 - Apr 1990,648,6.2
257,Hori-san to Miyamura-kun,2145,OVA,6,Sep 2012 - May 2021,114108,7.39,722,Manga,10,Feb 2007 - Dec 2011,14095,8.0
258,Slow Step,6819,OVA,5,Jun 1991 - Nov 1991,3273,6.42,10567,Manga,7,Sep 1986 - Mar 1991,1659,6.85
259,Itazura na Kiss,2041,TV,25,Apr 2008 - Sep 2008,275574,7.42,2445,Manga,23,May 1990 - Feb 1999,9726,7.56
261,Fate/Apocrypha,3101,TV,25,Jul 2017 - Dec 2017,461024,7.19,4081,Manga,?,Jun 2016 -,3217,7.35
262,Kekkai Sensen,1383,TV,12,Apr 2015 - Oct 2015,843775,7.6,1536,Manga,10,Jan 2009 - Feb 2015,14928,7.73
263,Kekkai Sensen,1383,TV,12,Apr 2015 - Oct 2015,843775,7.6,12194,One-shot,?,May 2008 - May 2008,1528,6.73
265,Saenai Heroine no Sodatekata,1779,TV,12,Jan 2015 - Mar 2015,637985,7.48,3655,Manga,8,Jan 2013 - Aug 2016,7486,7.41
267,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,6427,TV,12,Jul 2019 - Sep 2019,309016,6.5,13524,Manga,6,Nov 2017 - Dec 2020,11880,6.62
269,Shokei Shoujo no Virgin Road,4910,TV,12,Apr 2022 - Jun 2022,145963,6.79,11009,Manga,?,Jun 2020 -,2723,6.82
271,Magic Knight Rayearth,1823,TV,20,Oct 1994 - Mar 1995,66718,7.47,2157,Manga,3,Nov 1993 - Feb 1995,19283,7.6
272,Busou Shoujo Machiavellianism,4445,TV,12,Apr 2017 - Jun 2017,368905,6.89,6710,Manga,13,Mar 2014 - Aug 2022,12749,7.13
273,07-Ghost,3086,TV,25,Apr 2009 - Sep 2009,209034,7.19,910,Manga,17,Apr 2005 - Aug 2013,33122,7.92
274,Wu Dong Qian Kun,2465,ONA,12,Jan 2019 - Apr 2019,7308,7.32,4724,Manhua,?,Oct 2013 -,3567,7.29
275,Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,4739,Special,1,Sep 2008 - Sep 2008,50713,6.83,10185,Manga,2,Mar 2009 - Apr 2009,2923,6.88
276,Souten no Ken,5577,TV,22,Oct 2006 - Mar 2007,11897,6.66,1792,Manga,22,May 2001 - Aug 2010,5671,7.67
277,Beautiful Name,12234,Movie,1,1979 - 1979,437,4.84,8237,Manga,1,2005 -,1450,7.02
278,Buzzer Beater,6323,TV,13,Feb 2005 - Apr 2005,14995,6.51,16625,Manga,4,May 1996 - 1997,2518,6.24
281,Versailles no Bara,224,TV,40,Oct 1979 - Sep 1980,92801,8.33,247,Manga,10,1972 - 1973,15821,8.35
282,Quanzhi Fashi,3125,ONA,12,Sep 2016 - Nov 2016,131520,7.19,7587,Manhua,?,Jan 2018 -,3391,7.07
283,Futakoi Alternative,4657,TV,13,Apr 2005 - Jun 2005,30994,6.85,14841,Manga,1,2006 - 2006,438,6.51
284,Hikaru no Go,493,TV,75,Oct 2001 - Mar 2003,133918,8.08,524,Manga,23,Dec 1998 - Jul 2003,44472,8.12
285,Watashi no Shiawase na Kekkon,506,TV,12,Jul 2023 -,76162,8.07,1384,Novel,?,Jan 2019 -,2229,7.77
286,Watashi no Shiawase na Kekkon,506,TV,12,Jul 2023 -,76162,8.07,754,Manga,?,Dec 2018 -,11823,7.98
287,Kyou no 5 no 2,3047,OVA,4,Mar 2006 - Mar 2007,30236,7.2,6793,Manga,1,Apr 2002 - Jun 2003,3467,7.12
288,Gon,9801,TV,50,Apr 2012 - Mar 2013,2143,5.78,5107,Manga,7,1992 - 2002,14070,7.26
289,Kujibiki♥Unbalance,7759,TV,12,Oct 2006 - Dec 2006,13928,6.23,8434,Manga,2,Sep 2006 - Dec 2007,1372,7.01
290,All Out!!,3825,TV,25,Oct 2016 - Mar 2017,108836,7.04,4662,Manga,17,Nov 2012 - Nov 2019,4098,7.3
291,Jigoku Shoujo,1371,TV,26,Oct 2005 - Apr 2006,348541,7.61,7210,Manga,9,Oct 2005 - Aug 2008,8837,7.09
292,Gugure! Kokkuri-san,1502,TV,12,Oct 2014 - Dec 2014,178545,7.56,2112,Manga,12,Jul 2011 - Nov 2016,4266,7.61
293,"Kono Naka ni Hitori, Imouto ga Iru!",6352,TV,12,Jul 2012 - Sep 2012,206986,6.51,8092,Manga,5,May 2011 - Sep 2013,2448,7.03
295,Kimi ga Aruji de Shitsuji ga Ore de,3510,TV,13,Jan 2008 - Mar 2008,116210,7.11,5717,Manga,3,Oct 2007 - Apr 2009,1477,7.21
296,Mou Ippon!,3281,TV,13,Jan 2023 - Apr 2023,19966,7.16,3937,Manga,?,Oct 2018 -,1109,7.37
298,Mushoku Tensei: Isekai Ittara Honki Dasu,194,TV,11,Jan 2021 - Mar 2021,1170802,8.37,488,Manga,?,May 2014 -,101911,8.14
299,Keroro Gunsou,1160,TV,358,Apr 2004 - Apr 2011,74613,7.69,1881,Manga,?,Nov 1999 -,7386,7.65
300,Zekkyou Gakkyuu,11525,Special,3,Oct 2012 - Nov 2012,4822,5.26,1580,Manga,20,Sep 2008 - Feb 2015,10581,7.72
301,Hige wo Soru. Soshite Joshikousei wo Hirou.,2639,TV,13,Apr 2021 - Jun 2021,575605,7.28,5024,Manga,?,Nov 2018 -,44261,7.27
303,Heroman,4825,TV,26,Apr 2010 - Sep 2010,40044,6.81,14167,Manga,5,Aug 2009 - Oct 2011,1081,6.57
304,Yawara!,1737,TV,124,Oct 1989 - Sep 1992,20513,7.5,3436,Manga,29,1986 - 1993,5956,7.42
305,"Dragon, Ie wo Kau.",6852,TV,12,Apr 2021 - Jun 2021,57244,6.41,11391,Manga,?,Dec 2016 -,1807,6.79
306,Croket!,4519,TV,104,Apr 2003 - Mar 2005,1233,6.88,8674,Manga,15,Apr 2000 - Nov 2006,339,6.99
307,El Hazard: The Magnificent World,2739,OVA,7,May 1995 - Jan 1996,18943,7.26,12050,Manga,3,Mar 1996 - Dec 1997,1040,6.74
308,Jinki:Extend,8416,TV,12,Jan 2005 - Mar 2005,11430,6.1,12334,Manga,9,Feb 2002 - Jun 2006,528,6.72
309,Summer Ghost,787,Movie,1,Nov 2021 - Nov 2021,85917,7.87,2660,Manga,2,Oct 2021 - Jun 2022,1104,7.52
310,JoJo no Kimyou na Bouken Part 6: Stone Ocean,371,ONA,12,Dec 2021 - Dec 2021,454272,8.18,344,Manga,17,Dec 1999 - Apr 2003,194746,8.26
311,Accel World,2933,TV,24,Apr 2012 - Sep 2012,699141,7.22,5073,Manga,8,Apr 2010 - Jun 2017,11753,7.26
313,Shin Taketori Monogatari: 1000-nen Joou,3317,TV,42,Apr 1981 - Mar 1982,5425,7.15,9263,Manga,5,Jan 1980 - May 1983,497,6.95
314,Capeta,878,TV,52,Oct 2005 - Sep 2006,26149,7.82,504,Manga,32,Feb 2003 - Mar 2013,4314,8.14
315,Shin Takarajima,10011,Special,1,Jan 1965 - Jan 1965,626,5.73,12517,Manga,1,Apr 1947 - Apr 1947,1655,6.71
316,Ookami to Koushinryou,324,TV,13,Jan 2008 - Mar 2008,788906,8.22,164,Manga,16,Sep 2007 - Dec 2017,39188,8.45
319,Deadman Wonderland,3334,TV,12,Apr 2011 - Jul 2011,1201731,7.15,838,Manga,13,Apr 2007 - Jul 2013,195959,7.95
320,MÄR,2809,TV,102,Apr 2005 - Mar 2007,51011,7.25,4005,Manga,15,May 2003 - Jul 2006,15409,7.36
321,Uchuu Patrol Luluco,1594,TV,13,Apr 2016 - Jun 2016,147993,7.54,14786,Manga,?,Apr 2016 - Jun 2016,774,6.51
322,Asagiri no Miko,8403,TV,26,Jul 2002 - Dec 2002,7793,6.1,12506,Manga,9,Jan 2000 - Jun 2007,665,6.71
323,Magical☆Star Kanon 100%,5048,OVA,1,Jun 2013 - Jun 2013,31102,6.76,15532,Manga,1,Mar 2013 - Mar 2013,2323,6.43
324,Seikon no Qwaser,7186,TV,24,Jan 2010 - Jun 2010,320929,6.35,8465,Manga,24,Aug 2006 - Jul 2016,12806,7.0
325,Shounen Maid,2673,TV,12,Apr 2016 - Jul 2016,82088,7.28,5431,Manga,10,Mar 2008 - Mar 2017,2775,7.23
327,Bokusatsu Tenshi Dokuro-chan,6139,OVA,4,Mar 2005 - Sep 2005,194454,6.54,11898,Manga,3,Aug 2004 - Jun 2006,2645,6.75
329,Kuusen Madoushi Kouhosei no Kyoukan,7318,TV,12,Jul 2015 - Sep 2015,250455,6.32,13317,Manga,4,Jul 2014 - Jul 2016,1907,6.64
330,Saikin Yatotta Maid ga Ayashii,5962,TV,11,Jul 2022 - Oct 2022,112825,6.58,9371,Manga,?,Jan 2020 -,14754,6.94
331,Ghost Hunt,1003,TV,25,Oct 2006 - Mar 2007,225243,7.76,372,Manga,12,Dec 1997 - Sep 2010,15100,8.23
332,Dororo,297,TV,24,Jan 2019 - Jun 2019,1153392,8.24,4745,Manga,4,Aug 1967 - Jul 1968,15412,7.29
333,Hataraku Saibou Black,1621,TV,13,Jan 2021 - Mar 2021,215508,7.53,2076,Manga,8,Jun 2018 - Jan 2021,10346,7.62
334,Trinity Blood,2613,TV,24,Apr 2005 - Oct 2005,179944,7.29,1214,Manga,21,Aug 2003 - Apr 2018,17068,7.81
335,Gintama,15,TV,201,Apr 2006 - Mar 2010,1026339,8.94,75,Manga,77,Dec 2003 - Jun 2019,91669,8.62
336,Concrete Revolutio: Choujin Gensou,5538,TV,13,Oct 2015 - Dec 2015,87485,6.66,16818,Manga,2,Aug 2015 - Jun 2016,667,6.19
337,"Kimi to, Nami ni Noretara",1375,Movie,1,Jun 2019 - Jun 2019,207750,7.61,8871,Manga,1,Feb 2019 - May 2019,1151,6.97
338,Sora yori mo Tooi Basho,117,TV,13,Jan 2018 - Mar 2018,480950,8.52,4715,Manga,3,Dec 2017 - Feb 2019,3609,7.29
339,Kono Oto Tomare!,695,TV,13,Apr 2019 - Jun 2019,285190,7.92,52,Manga,?,Aug 2012 -,39250,8.69
340,Kaminaki Sekai no Kamisama Katsudou,4830,TV,12,Apr 2023 - Jul 2023,125173,6.81,7578,Manga,?,May 2019 -,4355,7.07
341,Koukaku Kidoutai: Stand Alone Complex,161,TV,26,Oct 2002 - Oct 2003,385872,8.42,4699,Manga,5,Dec 2009 - Dec 2012,2540,7.29
343,Levius,3301,ONA,12,Nov 2019 - Nov 2019,23384,7.15,3393,Manga,3,Dec 2012 - Sep 2014,7943,7.43
344,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,5732,TV,12,Apr 2023 - Jun 2023,110422,6.63,8114,Manga,?,Mar 2018 -,14259,7.03
346,Galaxy Angel,3902,TV,24,Apr 2001 - Sep 2001,28284,7.03,4971,Manga,5,Mar 2001 - May 2004,1721,7.27
347,Tottemo! Luckyman,2194,TV,50,Apr 1994 - Mar 1995,3236,7.37,1498,Manga,16,Aug 1993 - Jun 1997,608,7.74
348,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,88,TV,39,Oct 2018 - Jul 2019,963104,8.58,430,Manga,17,Nov 1995 - Mar 1999,106896,8.18
349,Gunnm,3759,OVA,2,Jun 1993 - Aug 1993,58398,7.06,194,Manga,9,Nov 1990 - Mar 1995,78284,8.41
350,Attack No.1,4254,TV,104,Dec 1969 - Nov 1971,9168,6.94,2549,Manga,12,Jan 1968 - Nov 1971,671,7.54
352,Kidou Butouden G Gundam,1462,TV,49,Apr 1994 - Mar 1995,67057,7.57,8749,Manga,3,Apr 1994 - Apr 1995,712,6.98
353,Dr. Stone,253,TV,24,Jul 2019 - Dec 2019,1639271,8.29,407,Manga,26,Mar 2017 - Mar 2022,179815,8.2
354,Amagi Brilliant Park,1846,TV,13,Oct 2014 - Dec 2014,637310,7.46,5216,Manga,6,Feb 2014 - Sep 2016,5820,7.25
357,Zero kara Hajimeru Mahou no Sho,3673,TV,12,Apr 2017 - Jun 2017,261499,7.07,6448,Manga,6,Dec 2014 - Jun 2017,2643,7.15
358,Kyuukyoku Choujin R,8228,OVA,1,Oct 1991 - Oct 1991,1657,6.13,4579,Manga,?,1985 -,1121,7.31
360,Love Hina,3572,TV,24,Apr 2000 - Sep 2000,259776,7.1,1243,Manga,14,Oct 1998 - Oct 2001,66355,7.8
361,Luger Code 1951,6806,ONA,1,Oct 2016 - Oct 2016,21146,6.42,14410,Manga,?,Dec 2015 - Feb 2016,1173,6.54
362,Itsudatte My Santa!,9388,OVA,2,Dec 2005 - Dec 2005,13594,5.89,15060,One-shot,?,Dec 1997 - Dec 1997,2495,6.48
363,Mahoujin Guruguru,1387,TV,45,Oct 1994 - Sep 1995,10638,7.6,2271,Manga,16,Jul 1992 - Aug 2003,1162,7.58
364,Shiki,1083,TV,22,Jul 2010 - Dec 2010,581939,7.73,835,Manga,11,Dec 2007 - Jun 2011,19996,7.95
365,Given,220,TV,11,Jul 2019 - Sep 2019,538331,8.33,112,Manga,9,Apr 2013 - Mar 2023,57119,8.55
366,Asatte Dance,11530,OVA,2,Jul 1991 - Oct 1991,1956,5.26,12533,Manga,7,1989 - 1990,2578,6.7
367,I''s,9323,OVA,2,Dec 2002 - Mar 2003,9995,5.9,1790,Manga,15,Apr 1997 - May 2000,31291,7.67
368,Bakemonogatari,219,TV,15,Jul 2009 - Jun 2010,1358880,8.33,129,Manga,22,Mar 2018 - Mar 2023,34042,8.51
369,Kore wa Zombie desu ka?,2300,TV,12,Jan 2011 - Mar 2011,613021,7.35,3235,Manga,8,Jan 2010 - Nov 2013,7614,7.45
371,Hakushaku to Yousei,3017,TV,12,Sep 2008 - Dec 2008,121962,7.21,3306,Manga,4,Aug 2008 - Apr 2010,12755,7.44
373,Kuroi Ame ni Utarete,10405,Movie,1,Aug 1984 - Aug 1984,901,5.63,14710,Manga,1,1966 - 1966,410,6.52
374,Tonari no Seki-kun,1593,TV,21,Jan 2014 - May 2014,224776,7.54,1638,Manga,?,Jul 2010 -,18727,7.7
375,Kuroshitsuji,1230,TV,24,Oct 2008 - Mar 2009,1140524,7.66,196,Manga,?,Sep 2006 -,153545,8.41
376,Akage no Anne,975,TV,50,Jan 1979 - Dec 1979,31138,7.77,4281,Manga,3,1997 - 1997,1529,7.33
377,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,7144,OVA,2,Mar 2002 - Jul 2002,6871,6.36,4553,Manga,2,1999 -,943,7.31
378,Silent Möbius,4911,TV,26,Apr 1998 - Sep 1998,14379,6.79,5541,Manga,12,1991 - 2003,1243,7.22
379,Gaikotsu Shotenin Honda-san,2579,TV,12,Oct 2018 - Dec 2018,112739,7.29,7429,Manga,4,Aug 2015 - Mar 2019,3959,7.08
380,Hadashi no Gen,979,Movie,1,Jul 1983 - Jul 1983,50491,7.77,238,Manga,10,May 1973 - Sep 1974,10928,8.36
381,Happy Sugar Life,4940,TV,12,Jul 2018 - Sep 2018,287733,6.79,5949,Manga,11,May 2015 - Jan 2020,23158,7.19
382,Koukaku no Pandora,6432,TV,12,Jan 2016 - Mar 2016,45109,6.5,9682,Manga,?,Oct 2012 -,2529,6.92
383,Sono Bisque Doll wa Koi wo Suru,309,TV,12,Jan 2022 - Mar 2022,946986,8.23,706,Manga,?,Jan 2018 -,138326,8.01
384,Working!!,1273,TV,13,Apr 2010 - Jun 2010,423847,7.65,1797,Manga,13,Dec 2004 - Nov 2014,10198,7.67
385,Yu☆Gi☆Oh! Arc-V,5360,TV,148,Apr 2014 - Mar 2017,62162,6.7,10188,Manga,7,Aug 2015 - Apr 2019,2527,6.88
386,Yu☆Gi☆Oh! Arc-V,5360,TV,148,Apr 2014 - Mar 2017,62162,6.7,16108,One-shot,?,May 2014 - May 2014,902,6.34
387,Fuuka,6336,TV,12,Jan 2017 - Mar 2017,289809,6.51,3390,Manga,20,Feb 2014 - Apr 2018,46598,7.43
388,Ojisan to Marshmallow,6017,TV,12,Jan 2016 - Mar 2016,65339,6.57,13688,Manga,5,Jun 2014 - Oct 2017,788,6.61
390,"Tantei wa Mou, Shindeiru.",7066,TV,12,Jul 2021 - Sep 2021,349015,6.37,7925,Manga,?,May 2020 -,3068,7.04
391,Stella no Mahou,4633,TV,12,Oct 2016 - Dec 2016,39162,6.85,9483,Manga,10,Aug 2012 - Dec 2021,932,6.93
393,Kotonoha no Niwa,754,Movie,1,May 2013 - May 2013,829441,7.89,1941,Manga,1,Apr 2013 - Oct 2013,12646,7.65
394,Black Clover,418,TV,170,Oct 2017 - Mar 2021,1561442,8.14,1062,Manga,?,Feb 2015 -,204598,7.86
395,Black Clover,418,TV,170,Oct 2017 - Mar 2021,1561442,8.14,11438,One-shot,?,May 2014 - May 2014,2108,6.79
396,Kino no Tabi: The Beautiful World,257,TV,13,Apr 2003 - Jul 2003,300236,8.29,1049,Manga,8,Mar 2017 - Aug 2020,3838,7.86
398,Kino no Tabi: The Beautiful World,257,TV,13,Apr 2003 - Jul 2003,300236,8.29,2561,Manga,5,May 2017 - Dec 2019,1688,7.54
399,"Dakara Boku wa, H ga Dekinai.",6127,TV,12,Jul 2012 - Sep 2012,408255,6.55,13005,Manga,5,Nov 2010 - Sep 2013,9723,6.67
401,K: Return of Kings,1509,TV,13,Oct 2015 - Dec 2015,322756,7.56,5777,Manga,2,Oct 2015 - Feb 2017,1237,7.2
402,Himegoto,9386,TV,13,Jul 2014 - Sep 2014,120526,5.89,7471,Manga,6,Nov 2011 - Jun 2015,7528,7.07
403,Hyakuren no Haou to Seiyaku no Valkyria,10154,TV,12,Jul 2018 - Sep 2018,185274,5.69,15666,Manga,?,Feb 2015 -,1694,6.41
405,"Kyou, Koi wo Hajimemasu",6646,OVA,2,Jun 2010 - Oct 2010,32884,6.45,1892,Manga,15,Sep 2007 - Feb 2012,46776,7.65
406,Guardian Hearts,9382,OVA,6,May 2003 - Nov 2003,8107,5.89,6971,Manga,8,2001 - 2005,589,7.11
408,Seiken Tsukai no World Break,4980,TV,12,Jan 2015 - Mar 2015,301028,6.78,9231,Manga,4,Apr 2014 - Jan 2016,1791,6.95
409,Witchblade,2929,TV,24,Apr 2006 - Sep 2006,113194,7.22,11227,Manga,2,-,3129,6.81
410,Medaka Box,3937,TV,12,Apr 2012 - Jun 2012,247644,7.02,1296,Manga,22,May 2009 - Apr 2013,63813,7.79
411,Medaka Box,3937,TV,12,Apr 2012 - Jun 2012,247644,7.02,6645,One-shot,?,Feb 2009 - Feb 2009,8418,7.13
412,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,4883,TV,13,Jan 2020 - Mar 2020,153256,6.8,3085,Manga,?,Aug 2018 -,1580,7.46
413,Hanebado!,4663,TV,13,Jul 2018 - Oct 2018,153426,6.85,4457,Manga,16,Jun 2013 - Oct 2019,5355,7.32
415,"Jitsu wa Ore, Saikyou deshita?",4811,TV,12,Jul 2023 -,53364,6.82,13919,Manga,?,Apr 2019 -,12855,6.59
416,Mushishi,64,TV,26,Oct 2005 - Jun 2006,796403,8.66,43,Manga,10,Nov 1999 - Aug 2008,78507,8.72
417,Cider no You ni Kotoba ga Wakiagaru,2045,Movie,1,Jul 2021 - Jul 2021,209098,7.41,5378,Manga,3,Nov 2019 - Mar 2021,1088,7.23
418,Hatsukoi Monster,10894,TV,12,Jul 2016 - Sep 2016,109750,5.48,17111,Manga,?,Jan 2013 -,3650,6.1
419,Otome Youkai Zakuro,1991,TV,13,Oct 2010 - Dec 2010,120600,7.43,2275,Manga,?,Apr 2006 -,6216,7.58
420,Sasaki to Miyano,308,TV,12,Jan 2022 - Mar 2022,171689,8.23,117,Manga,?,Feb 2016 -,31685,8.54
421,Mahou Shoujo Lyrical Nanoha A's,636,TV,13,Oct 2005 - Dec 2005,63749,7.96,3443,Manga,1,Jun 2005 - Jan 2006,1978,7.42
422,Chainsaw Man,87,TV,12,Oct 2022 - Dec 2022,1293360,8.58,40,Manga,?,Dec 2018 -,562333,8.75
423,Yume Tsukai,6838,TV,12,Apr 2006 - Jun 2006,8986,6.41,8441,Manga,6,Jan 2001 - Dec 2003,1318,7.01
424,Sengoku Basara,2392,TV,12,Apr 2009 - Jun 2009,158280,7.33,9201,Manga,3,Jul 2009 - Feb 2011,1023,6.95
425,Mahoutsukai no Yome,522,TV,24,Oct 2017 - Mar 2018,882142,8.06,245,Manga,?,Nov 2013 -,88467,8.35
426,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,4721,TV,12,Jul 2023 -,102803,6.86,2387,Manga,?,Oct 2018 -,32212,7.57
427,Quanzhi Gaoshou,778,ONA,12,Apr 2017 - Jun 2017,357977,7.88,1669,Manhua,?,Sep 2015 -,5779,7.69
429,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,884,TV,12,Jan 2023 - Mar 2023,244162,7.82,897,Manga,?,Jan 2022 -,9892,7.92
431,Byousoku 5 Centimeter,1440,Movie,3,Mar 2007 - Mar 2007,912843,7.58,868,Manga,2,May 2010 - Mar 2011,30167,7.93
432,Byousoku 5 Centimeter,1440,Movie,3,Mar 2007 - Mar 2007,912843,7.58,582,Novel,1,Nov 2007 - Nov 2007,5115,8.09
433,Samurai Deeper Kyou,4425,TV,26,Jul 2002 - Dec 2002,55345,6.9,1674,Manga,38,May 1999 - May 2006,24451,7.69
434,Red Garden,3844,TV,22,Oct 2006 - Mar 2007,44326,7.04,4561,Manga,4,Feb 2007 - Mar 2009,3022,7.31
435,Sounan desu ka?,5875,TV,12,Jul 2019 - Sep 2019,152855,6.6,3735,Manga,10,Jan 2017 - Mar 2022,5962,7.39
437,Mirai Nikki,3117,OVA,1,Dec 2010 - Dec 2010,231421,7.19,1788,Manga,12,Jan 2006 - Dec 2010,102729,7.67
438,Higurashi no Naku Koro ni Gou,3041,TV,24,Oct 2020 - Mar 2021,263398,7.2,2401,Manga,4,Oct 2020 - Sep 2021,1886,7.56
439,Horimiya,346,TV,13,Jan 2021 - Apr 2021,1255457,8.2,181,Manga,16,Oct 2011 - Mar 2021,323487,8.43
440,Petit Eva: Evangelion@School,11003,ONA,24,Mar 2007 - Mar 2009,26004,5.45,15956,Manga,1,May 2007 - Sep 2009,1109,6.37
441,Jujutsu Kaisen,69,TV,24,Oct 2020 - Mar 2021,2272130,8.64,127,Manga,?,Mar 2018 -,348330,8.52
442,Meitantei Conan: Hannin no Hanzawa-san,4884,TV,12,Oct 2022 - Dec 2022,10333,6.8,6231,Manga,?,May 2017 -,1030,7.16
443,Devils Line,4734,TV,12,Apr 2018 - Jun 2018,257944,6.83,2310,Manga,14,Mar 2013 - May 2019,20258,7.58
444,Chocolat no Mahou,7807,OVA,13,Mar 2011 - Jan 2013,8365,6.22,3526,Manga,?,Sep 2008 -,2200,7.41
445,Aldnoah.Zero,2134,TV,12,Jul 2014 - Sep 2014,502410,7.39,9014,Manga,4,Aug 2014 - Jul 2015,3528,6.96
446,Zannen Onna Kanbu Black General-san,10259,ONA,10,Jun 2017 - Jul 2017,2320,5.66,2044,Manga,?,May 2015 -,7482,7.62
447,Mai-Otome,2653,TV,26,Oct 2005 - Mar 2006,50531,7.28,5393,Manga,5,Aug 2005 - 2006,3583,7.23
448,Lodoss-tou Senki: Eiyuu Kishi Den,3422,TV,27,Apr 1998 - Sep 1998,31668,7.13,4744,Manga,6,1998 - 2000,1777,7.29
449,Coquelicot-zaka kara,938,Movie,1,Jul 2011 - Jul 2011,191172,7.79,10232,Manga,2,Dec 1979 - Jul 1980,503,6.88
451,Seikai no Monshou,1303,TV,13,Jan 1999 - Mar 1999,51142,7.63,4001,Manga,8,May 2012 - Apr 2021,1073,7.36
